binGrp,Corla species,Coral stem-LIVE,Dead Corals,Basket Stars,transect,dateTime,video.file,segCor,Notes
T_80_1,stylaster,334,,0,T_80,6/6/2017 10:31-10:36,Fog Rocks 2 - 06/06/2017,fog rocks 2 - 06/06/2017 1,
T_123_1,paragorgia,4,,1,T_123,3/3/2015 12:13-12:16,nw hakai,nw hakai 1,
T_123_1,calcigorgia,64,,,T_123,3/3/2015 12:13-12:16,nw hakai,nw hakai 1,
T_123_7,paragorgia,5,30,36,T_123,3/3/2015 12:22-12:24,nw hakai,nw hakai 1,
T_123_7,calcigorgia,431,,,T_123,3/3/2015 12:22-12:24,nw hakai,nw hakai 1,
T_143_5,paragorgia,0,1,2,T_143,3/1/2015 3:11-3:13,south of henderson,south of henderson 2,
T_143_5,calcigorgia,28,,,T_143,3/1/2015 3:11-3:13,south of henderson,south of henderson 2,
T_158_1,paragorgia,0,42,120,T_158,3/3/2015 10:23-10:27,west hakai pinnacle,west hakai pinnacle 1,
T_158_1,calcigorgia,29,,,T_158,3/3/2015 10:23-10:27,west hakai pinnacle,west hakai pinnacle 1,
T_159_1,paragorgia,2,5,0,T_159,3/3/2015 10:56-10:58,west of stirling isle,west of stirling isle 1,
T_159_1,calcigorgia,3,,,T_159,3/3/2015 10:56-10:58,west of stirling isle,west of stirling isle 1,
T_35_5,paragorgia,2,9,0,T_35,8/26/2016 16:45 - 16:48,26 August L heikish 1,26 august l heikish 1 5,
T_35_5,calcigorgia,1,,,T_35,8/26/2016 16:45 - 16:48,26 August L heikish 1,26 august l heikish 1 5,
T_35_7,paragorgia,17,5,0,T_35,8/26/2016 16:51 - 16:53,26 August L heikish 1,26 august l heikish 1 7,
T_35_7,calcigorgia,2,,,T_35,8/26/2016 16:51 - 16:53,26 August L heikish 1,26 august l heikish 1 7,
T_35_8,paragorgia,1,4,,T_35,8/26/2016 16:53 - 16:57,26 August L heikish 1,26 august l heikish 1 7,Uncountable number of Orn cup corals 16:55:44
T_35_8,calcigorgia,0,,,T_35,8/26/2016 16:53 - 16:57,26 August L heikish 1,26 august l heikish 1 7,
T_35_9,paragorgia,6,3,0,T_35,8/26/2016 16:57 - 16:59,26 August L heikish 1,26 august l heikish 1 11,
T_35_9,calcigorgia,0,,,T_35,8/26/2016 16:57 - 16:59,26 August L heikish 1,26 august l heikish 1 11,
T_46_3,paragorgia,1,0,1,T_46,3/4/2015 3:04 - 3:05,4-mar-15 breaker grp_001,4-mar-15 breaker grp_001 3,
T_46_3,calcigorgia,6,,,T_46,3/4/2015 3:04 - 3:05,4-mar-15 breaker grp_001,4-mar-15 breaker grp_001 3,
T_46_4,paragorgia,0,1,0,T_46,3/4/2015 3:05 - 3:07,4-mar-15 breaker grp_001,4-mar-15 breaker grp_001 3,
T_46_4,calcigorgia,0,,,T_46,3/4/2015 3:05 - 3:07,4-mar-15 breaker grp_001,4-mar-15 breaker grp_001 3,
T_59_2,paragorgia,0,1,1,T_59,3/2/2015 3:32 - 3:34,breaker ledge,breaker ledge 1,
T_59_2,calcigorgia,15,,,T_59,3/2/2015 3:32 - 3:34,breaker ledge,breaker ledge 1,
T_59_4,paragorgia,0,0,0,T_59,3/2/2015 3:34 - 3:35,breaker ledge,breaker ledge 3,
T_59_4,calcigorgia,0,,,T_59,3/2/2015 3:34 - 3:35,breaker ledge,breaker ledge 3,
T_59_5,paragorgia,0,0,0,T_59,3/2/2015 3:35 - 3:36,breaker ledge,breaker ledge 4,
T_59_5,calcigorgia,13,,,T_59,3/2/2015 3:35 - 3:36,breaker ledge,breaker ledge 4,
T_82_1,paragorgia,4,7,0,T_82,3/3/2015 9:46 - 9:51,hakai deep,hakai deep 1,
T_82_1,calcigorgia,92,,,T_82,3/3/2015 9:46 - 9:51,hakai deep,hakai deep 1,
T_80_2,paragorgia,0,,0,T_80_2,06/06/2017 10:35 - 10:39,Fog Rocks 2 - 06/06/2017,fog rocks 2 - 06/06/2017 2,Lots of dead coral
T_80_2,stylaster,275,,,,,,,
T_80_2,calcigorgia,10,,,T_80_2,06/06/2017 10:35 - 10:39,Fog Rocks 2 - 06/06/2017,fog rocks 2 - 06/06/2017 2,
T_80_5,paragorgia,0,,0,T_80_5,06/06/2017 10:40 - 10:52,Fog Rocks 2 - 06/06/2017,fog rocks 2 - 06/06/2017 3,Lots of dead coral
T_80_5,calcigorgia,13,,,T_80_5,06/06/2017 10:40 - 10:52,Fog Rocks 2 - 06/06/2017,fog rocks 2 - 06/06/2017 3,
T_80_5,stylaster,932,,0,T_80_5,06/06/2017 10:40 - 10:52,Fog Rocks 2 - 06/06/2017,fog rocks 2 - 06/06/2017 3,
