Dive_Bin,X4km2grid,binArea,AvgDepth,Aphrocallistidae,Boot.sponge,Chrysopathes,Farrea,Mycale,Paragorgia,Primnoa,Swiftia,Stylaster,Greenstriped rockfish,Quillback rockfish,Redbanded rockfish,Redstriped rockfish,Rosethorn rockfish,Sebastolobus alascanus,Sharpchin rockfish,Shortraker rockfish,Tiger rockfish,Yelloweye rockfish,X1km2grid,UpperOceanSR
B061_1,7688,120.6038609,109.2313342,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28384,(11) Mainland Fjords
B061_10,7688,115.820659,154.6327857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_11,7688,120.8545456,162.514885,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_12,7688,120.540495,165.4081336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_13,7688,121.2754422,150.6291733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_14,7688,120.5964665,164.0556812,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_15,7688,121.395152,164.89923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_16,7688,121.5990872,167.2866533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_17,7688,121.2839257,167.327653,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_18,7688,120.65205,164.6914037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_19,7688,120.8877272,150.7636264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_2,7688,120.7915326,114.1486899,28,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_20,7688,121.9854324,158.1478144,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_21,7688,120.5587392,152.1201863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_23,7688,121.129503,119.3370528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_25,7688,120.8747026,113.2427194,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28384,(11) Mainland Fjords
B061_26,7688,121.9042608,117.6261456,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_27,7688,120.2968952,115.0199199,36,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_28,7688,121.1400514,114.2614302,14,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_29,7688,118.5239494,115.0890852,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_3,7688,120.9545875,121.6797474,35,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_30,7688,121.1012261,116.4869667,10,6,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_31,7688,121.1037153,120.8642179,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_32,7688,13.37517773,101.1930009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_4,7688,120.7116942,121.3950943,39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_5,7688,120.3446493,124.6064482,93,27,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,28384,(11) Mainland Fjords
B061_6,7688,121.76765,136.5427533,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_7,7688,121.03117,134.7896566,21,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_8,7688,119.9402215,144.3353958,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B061_9,7688,121.5933156,151.6495062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28384,(11) Mainland Fjords
B054_10,8792,118.2111536,296.6075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_11,8792,120.5091351,298.1244694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_12,8792,119.0878411,300.6711724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_13,8792,121.9880756,303.2110247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_14,8792,121.3852716,302.6456471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_15,8792,121.2492376,301.7577966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_16,8792,121.1131126,300.754241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_17,8792,121.5430291,301.5418646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_18,8792,120.902078,303.7648017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_19,8792,121.8613679,299.40235,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34418,(11) Mainland Fjords
B054_20,8792,121.5176292,297.2077338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_21,8792,121.2174165,293.3485596,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_22,8792,120.4458469,280.1701556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_23,8792,120.2852235,269.6854012,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_24,8792,118.9885225,263.8414825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_25,8792,119.455275,264.2271364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_26,8792,118.0375899,266.3022188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_27,8792,121.0565022,268.3301346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_28,8792,120.7351499,271.7819412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_29,8792,121.2280286,273.52475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_3,8792,119.656822,290.2478186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_30,8792,120.8671154,275.6457818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_31,8792,120.622189,274.8580935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_32,8792,120.4179976,268.9103036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_33,8792,115.8995339,262.7735556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34418,(11) Mainland Fjords
B054_34,8792,120.4897753,260.2483409,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_35,8792,121.6587958,254.0040882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_36,8792,120.617621,248.7385775,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,34418,(11) Mainland Fjords
B054_37,8792,121.1367072,248.1464085,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_38,8792,121.7804271,249.8165667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_39,8792,121.0395439,253.2205,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_4,8792,119.9832439,290.9752632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_40,8792,119.4133759,266.7688806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_41,8792,120.5565059,280.9867576,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_42,8792,121.2281607,284.6746218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_43,8792,118.2205237,282.1697286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_44,8792,120.3770569,281.0337778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_45,8792,119.0871074,278.0918108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_46,8792,118.6563666,274.3123438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_47,8792,121.2061726,272.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_48,8792,120.7783786,269.7168929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_49,8792,121.7828783,266.9825882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
