Descriptive.ID,Date,Transect.Transect.Number,Depth,GlassSponge1,GlassSponge2,GlassSponge3,Species,TL,Multiplier,PU_1Km_ID,PU_4Km_ID
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,yellowtail,18,120,286,9266
sag-28-09-2020,28-Sep-20,2,17,0,0,0,quillback,22,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,copper,27,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,copper,25,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,copper,18,1,265,9108
sag-28-09-2020,28-Sep-20,1,26,0,0,0,copper,22,1,265,9108
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,copper,38,1,286,9266
sag-28-09-2020,28-Sep-20,2,17,0,0,0,copper,20,1,265,9108
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,shortbelly,16,1,286,9266
sag-28-09-2020,28-Sep-20,2,17,0,0,0,copper,22,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,copper,15,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,copper,27,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,china,24,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,china,25,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,puget sound,15,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,puget sound,10,3,265,9108
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,redstripe,18,2,286,9266
sag-28-09-2020,28-Sep-20,2,17,0,0,0,widow,5,100,265,9108
sag-28-09-2020,28-Sep-20,3,5,0,0,0,widow,5,25,265,9108
sag-28-09-2020,28-Sep-20,3,5,0,0,0,black & yellowtail,4,50,265,9108
sag-28-09-2020,28-Sep-20,1,26,0,0,0,quillback,22,3,265,9108
sag-28-09-2020,28-Sep-20,1,26,0,0,0,quillback,25,2,265,9108
sag-28-09-2020,28-Sep-20,1,26,0,0,0,quillback,27,1,265,9108
sag-28-09-2020,28-Sep-20,1,26,0,0,0,quillback,18,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,copper,22,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,black & yellowtail,5,50,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,puget sound,12,2,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,yellowtail,7,100,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,yellowtail,20,30,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,yellowtail,10,20,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,copper,21,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,copper,20,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,copper,25,1,265,9108
sag-28-09-2020,28-Sep-20,2,17,0,0,0,dusky,30,4,265,9108
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,quillback,34,3,286,9266
