binGrp,coralFix,area.m2,black,bocaccio,brown,canary,china,copper,deacon,dusky,greenstripe,puget.sound,pygmy,quillback,redstripe,rosethorn,sharpchin,silvergray,splitnose,stripetail,tiger,vermillion,widow,yelloweye,yellowtail,blackspotted,shortraker,shortbelly,depth,Glass.sponge.cover,Paragorgia.Pac_count,Stylaster_count,CalcigorgiaNew,ParagorgiaNew,StylasterNew,PU_1Km_ID,PU_4Km_ID,UpperOceanSR
T_10_1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,20.1168,0,0,0,,,,32691,8484,(11) Mainland Fjords
T_10_10,FALSE,67.6206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,34.7472,0,0,0,,,,32471,8326,(11) Mainland Fjords
T_10_2,FALSE,170.5229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,35.9664,0,0,0,,,,32691,8484,(11) Mainland Fjords
T_10_3,FALSE,70.634,0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,33.71177143,0,0,0,,,,32691,8484,(11) Mainland Fjords
T_10_4,FALSE,66.9274,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,25.75816,0,0,0,,,,32691,8484,(11) Mainland Fjords
T_10_5,FALSE,67.5883,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,27.8684,0,0,0,,,,32691,8484,(11) Mainland Fjords
T_10_6,FALSE,19.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,29,0,0,0,,,,32472,8326,(11) Mainland Fjords
T_10_7,FALSE,24.3818,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,26.2024,0,0,0,,,,32472,8326,(11) Mainland Fjords
T_10_8,FALSE,70.2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,22,0,0,0,,,,32471,8326,(11) Mainland Fjords
T_10_9,FALSE,27.0044,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,30.69542857,0,0,0,,,,32471,8326,(11) Mainland Fjords
T_100_1,FALSE,71.5424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,14.85714286,0,0,0,,,,40128,9739,(11) Mainland Fjords
T_100_10,FALSE,60.0492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,123.16,0,0,0,,,,40387,9739,(11) Mainland Fjords
T_100_2,FALSE,46.2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,24.83,0,0,0,,,,40387,9739,(11) Mainland Fjords
T_100_3,FALSE,116.4917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,30.7925,0,0,0,,,,40387,9739,(11) Mainland Fjords
T_100_4,FALSE,121.8191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,43.72625,0,0,0,,,,40387,9739,(11) Mainland Fjords
T_100_5,FALSE,126.7598,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,79.04020314,0,0,0,,,,40387,9739,(11) Mainland Fjords
T_100_6,FALSE,115.1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,131.0789474,0,0,0,,,,40387,9739,(11) Mainland Fjords
T_100_7,FALSE,116.2318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,169.8521167,0,0,0,,,,40387,9739,(11) Mainland Fjords
T_100_8,FALSE,120.6248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,93.40851064,0,0,0,,,,40387,9739,(11) Mainland Fjords
T_100_9,FALSE,121.4508,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,115.3100532,0,0,0,,,,40387,9739,(11) Mainland Fjords
T_102_1,FALSE,104.5855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,20.26666667,0,0,0,,,,46392,10684,(11) Mainland Fjords
T_102_2,FALSE,198.3849,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,42.9,0,0,0,,,,46392,10684,(11) Mainland Fjords
T_102_3,FALSE,62.3934,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,60.45,0,0,0,,,,46679,10684,(11) Mainland Fjords
T_102_4,FALSE,62.6679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,75.5,0,0,0,,,,46679,10684,(11) Mainland Fjords
T_102_5,FALSE,84.5185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,85.6,0,0,0,,,,46679,10684,(11) Mainland Fjords
T_103_1,FALSE,128.9319,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,16.99259259,0,0,0,,,,46391,10684,(11) Mainland Fjords
T_103_2,FALSE,118.9556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,21.22272727,0,0,0,,,,46391,10684,(11) Mainland Fjords
T_103_3,FALSE,102.6181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,26.75185185,0,0,0,,,,46391,10684,(11) Mainland Fjords
T_103_4,FALSE,102.7012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,34.41111111,0,0,0,,,,46391,10684,(11) Mainland Fjords
T_103_5,FALSE,112.167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,40.45921335,0,0,0,,,,46391,10684,(11) Mainland Fjords
