"","PUID","normalized_score_sponges","normalized_score_rockfish","normalized_score_corals","rank_sponges","rank_rockfish","rank_corals","group_score","normalized_score_sponges.1","normalized_score_rockfish.1","normalized_score_corals.1","even_score","PUID_4km","UpperOceanSR","max_depth","rf_hotspot","cor_hotspot","sponge_hotspot","rf_cor","rf_sp","cor_sp","rf_cor_sp","puid_rank","all_hotspots"
"1",21076,4.50776493268451e-05,0.0623644456332307,7.22351931509868e-09,3,3,2,0.0624095305060769,0.00072228790957586,0.999277596346575,1.15743849641608e-07,0.000371234504662159,6265,"(13) Eastern Queen Charlotte Sound",28,0,0,0,0,0,0,0,2,0
"2",21082,0.36029783720121,0.21919007574297,8.03302420271006e-09,9,8,4,0.579487920977204,0.621752109334102,0.378247876803618,1.38622806652532e-08,0.384316456891015,6267,"(11) Mainland Fjords",30,0,0,1,0,0,0,0,10,1
"3",21284,6.68133185711029e-08,0.0567599477637301,1.00924733386488e-08,1,3,6,0.056760024669522,1.17711926589382e-06,0.999998645071204,1.77809530517489e-07,1.14593339070729e-06,6265,"(13) Eastern Queen Charlotte Sound",19,0,0,0,0,0,0,0,1,0
"4",21500,0.163337180378462,0.502619723149182,6.79999977234234e-09,7,10,1,0.665956910327644,0.245266890162761,0.754733099626368,1.02108705036138e-08,0.370988274482199,6267,"(11) Mainland Fjords",30,1,0,0,0,0,0,0,10,1
"5",21711,2.25538587022002e-05,0.267816746141242,8.53713864207786e-09,2,8,5,0.267839308537083,8.42066790919809e-05,0.999915761446801,3.18741064883532e-08,0.000234314441256465,6424,"(11) Mainland Fjords",28,0,0,0,0,0,0,0,2,0
"6",21933,9.69860803090941e-05,0.190199911463049,7.27394821104138e-09,3,7,2,0.190296904817306,0.000509656635782937,0.99949030514001,3.82242066313412e-08,0.00083241934541557,6423,"(13) Eastern Queen Charlotte Sound",30,0,0,0,0,0,0,0,3,0
"7",21938,3.35654463020403e-08,0.233571152271225,1.03427690042266e-08,1,8,6,0.23357119617944,1.43705417667398e-07,0.99999981201357,4.42810122712254e-08,7.47879718711832e-07,6424,"(11) Mainland Fjords",18,0,0,0,0,0,0,0,1,0
"8",21939,0.0667822150600514,0.324730894192438,7.42463419492349e-09,6,9,2,0.391513116677124,0.170574655651003,0.829425325385049,1.89639475119974e-08,0.178841855133479,6425,"(11) Mainland Fjords",30,1,0,0,0,0,0,0,7,0
"9",21940,0.18221704860022,0.15667405297244,6.0167917911562e-09,8,6,1,0.338891107589452,0.537686131384026,0.462313850861623,1.77543513429842e-08,0.233937994523019,6425,"(11) Mainland Fjords",31,0,0,0,0,0,0,0,8,0
"10",21941,0.203766741647625,0.0515783504620037,8.15767241018997e-09,8,3,4,0.255345100267301,0.79800529336305,0.201994674689314,3.19476363621246e-08,0.128478369031747,6425,"(11) Mainland Fjords",30,0,0,0,0,0,0,0,7,0
