"","PU_1Km_ID","raw_score","obs_score","UpperOceanSR","PU_4Km_ID","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","rockfish_rank","rockfish_hotspot","rockfish_hotspot2"
"1",21076,0.0203237378842228,0.03270108820338,"(13) Eastern Queen Charlotte Sound",6265,28,28,1,0,0,0,0.0150196781079067,0.00893106824605727,6,0,0
"2",21082,1.2728450431852e-05,0,"(11) Mainland Fjords",6267,24.5,30,2,0,0,0,0,5.59339330791483e-06,1,0,0
"3",21284,2.99436596617738e-05,0,"(13) Eastern Queen Charlotte Sound",6265,13,19,2,0,0,0,0,1.31584489772237e-05,4,0,0
"4",21500,9.97867430979605e-06,0,"(11) Mainland Fjords",6267,24.4,30,5,0,0,0,0,4.38503102990471e-06,1,0,0
"5",21711,1.43090946208641e-05,0,"(11) Mainland Fjords",6424,23,28,2,0,0,0,0,6.28799196910699e-06,2,0,0
"6",21933,0.00266336144213369,0.00190763979664492,"(13) Eastern Queen Charlotte Sound",6423,20.8,30,5,0,0,0,0.000876182942697234,0.00117038819035739,4,0,0
"7",21938,0.0100217782807911,0.01090036273446,"(11) Mainland Fjords",6424,11,18,3,0,0,0,0.00500655936930224,0.00440397264924786,5,0,0
"8",21939,0.0150142969555445,0.0128808422353493,"(11) Mainland Fjords",6425,22.75,30,4,0,0,0,0.00591619774028436,0.00659788625204784,5,0,0
"9",21940,1.45282430401357e-05,0,"(11) Mainland Fjords",6425,23.5,31,2,0,0,0,0,6.38429460298663e-06,2,0,0
"10",21941,2.34218451009633e-05,0,"(11) Mainland Fjords",6425,17.6666684444445,30,3,0,0,0,0,1.02925012237868e-05,3,0,0
"11",22157,1.2728450431852e-05,0,"(13) Eastern Queen Charlotte Sound",6423,24.5,30,2,0,0,0,0,5.59339330791483e-06,1,0,0
"12",22158,1.30166127877685e-05,0,"(13) Eastern Queen Charlotte Sound",6423,24.5,31,2,0,0,0,0,5.72002344265166e-06,1,0,0
"13",22163,0.00620919347015715,0.00467088140093524,"(11) Mainland Fjords",6425,18,32,6,0,0,0,0.00214534558256701,0.00272856946644622,5,0,0
"14",22167,1.22350524176401e-05,0,"(11) Mainland Fjords",6426,25.5,33,2,0,0,0,0,5.3765743663157e-06,1,0,0
"15",22374,0.00142696476388661,0.00101740789154396,"(13) Eastern Queen Charlotte Sound",6423,19.8,31,5,0,0,0,0.000467297569438525,0.000627065737788501,4,0,0
"16",22601,0.539538490731266,0.540688431965594,"(13) Eastern Queen Charlotte Sound",6582,41,41,0,1,0,0,0.248339326027464,0.237094923657541,10,1,1
"17",23031,1.20592967480017e-05,0,"(13) Eastern Queen Charlotte Sound",6581,25,30,2,0,0,0,0,5.29934025273317e-06,1,0,0
"18",23231,0.241077762237329,0.264759950590695,"(11) Mainland Fjords",6581,34,34,0,1,0,0,0.121604798256423,0.105939269607476,9,1,1
"19",23419,0.555748097415924,0.577050533361293,"(13) Eastern Queen Charlotte Sound",6736,55,55,0,1,0,0,0.265040515140614,0.244218077103384,10,1,1
"20",23420,0.586899812033721,0.584357858579225,"(13) Eastern Queen Charlotte Sound",6736,84,84,0,0,2,0,0.26839678487453,0.257907394039971,10,1,1
"21",23432,1.14961452029781e-05,0,"(11) Mainland Fjords",6739,26,26,1,0,0,0,0,5.05186880283897e-06,1,0,0
"22",23433,7.62504508527546e-06,0,"(11) Mainland Fjords",6739,78,78,0,1,0,0,0,3.35075163947691e-06,1,0,0
"23",23434,4.08380580855245e-05,0,"(11) Mainland Fjords",6740,19.0000004166667,26,3,1,0,0,0,1.79458860312013e-05,4,0,0
"24",23435,2.86387657594414e-05,0,"(11) Mainland Fjords",6740,26.3437495833333,41,3,1,0,0,0,1.25850260880886e-05,4,0,0
"25",23636,1.88782443613269e-05,0,"(11) Mainland Fjords",6739,41,41,0,1,0,0,0,8.29586022596965e-06,2,0,0
"26",23845,1.9563790972886e-05,0,"(11) Mainland Fjords",6741,19.3333315555555,30,3,0,0,0,0,8.59711699323194e-06,2,0,0
"27",24038,0.0172372225148881,0.0166633463608995,"(13) Eastern Queen Charlotte Sound",6737,76.425,76.425,0,0,1,0,0.00765350978489453,0.00757472919252949,6,0,0
"28",24056,1.0811647308361e-05,0,"(11) Mainland Fjords",6742,26,30,2,0,0,0,0,4.75107288400094e-06,1,0,0
"29",24058,0.00726492163759943,0.00813662402312968,"(11) Mainland Fjords",6742,13.3333315555555,25,3,0,0,0,0.00373716840713077,0.00319249890533312,5,0,0
"30",24256,0.165268854486711,0.158885097478851,"(13) Eastern Queen Charlotte Sound",6895,40.8165960185185,80,2,1,3,0,0.072976257102938,0.0726257850193175,8,0,1
"31",24272,0.0179287052438338,0.0171558520001492,"(11) Mainland Fjords",6899,30,30,0,0,1,0,0.00787971865359803,0.00787859452863866,6,0,0
"32",24275,0.052446176647767,0.0370049974169513,"(11) Mainland Fjords",6900,16.6666684444445,30,3,0,0,0,0.0169964725983975,0.0230469604338677,7,0,1
"33",24276,2.13109051790242e-05,0,"(11) Mainland Fjords",6900,17.3333315555555,25,3,0,0,0,0,9.3648692786415e-06,3,0,0
"34",24468,2.41695067417751e-05,0,"(13) Eastern Queen Charlotte Sound",6896,15,19,3,0,0,0,0,1.06210538343886e-05,3,0,0
"35",24481,1.22350524176401e-05,0,"(11) Mainland Fjords",6899,25.5,33,2,0,0,0,0,5.3765743663157e-06,1,0,0
"36",24482,2.4582340785921e-05,0,"(11) Mainland Fjords",6899,15,21,3,0,0,0,0,1.08024697256763e-05,3,0,0
"37",24484,2.90302413535429e-05,0,"(11) Mainland Fjords",6900,13.3333315555555,24,3,0,0,0,0,1.27570562169706e-05,4,0,0
"38",24486,0.00626113806451558,0.00813662402312968,"(11) Mainland Fjords",6900,18.3333315555555,30,3,0,0,0,0.00373716840713077,0.00275139601143867,5,0,0
"39",24678,1.33306122700981e-05,0,"(11) Mainland Fjords",6896,22,30,4,0,0,0,0,5.85800745041085e-06,1,0,0
"40",24691,2.43729341711658e-05,0,"(11) Mainland Fjords",6899,16.3333315555555,27,3,0,0,0,0,1.07104480327078e-05,3,0,0
"41",24694,2.34218451009633e-05,0,"(11) Mainland Fjords",6900,17.6666684444445,30,3,0,0,0,0,1.02925012237868e-05,3,0,0
