common name,scientific name,MaxAge,bpmp
Black Rockfish ,Sebastes melanops,50,1
Blackspotted-Rougheye complex,Sebastes melanostictus/S aleutianus,205,2
Bocaccio,Sebastes paucispinis,50,1
Brown Rockfish,Sebastes auriculatus,34,3
Canary Rockfish ,Sebastes pinniger,84,2
China Rockfish,Sebastes nebulosus,79,2
Copper Rockfish,Sebastes caurinus,50,3
Deacon Rockfish,Sebastes diaconus,44,1
Dusky-Dark complex,Sebastes variabilis and S. ciliatus,67,1
Greenstriped rockfish,Sebastes elongatus,54,2
Puget Sound Rockfish,Sebastes emphaeus,22,1
Pygmy Rockfish,Sebastes wilsoni,26,2
Quillback Rockfish,Sebastes maliger,95,3
Redbanded rockfish,Sebastes babcocki,106,3
Redstripe Rockfish,Sebastes proriger,55,3
Rosethorn Rockfish,Sebastes helvomaculatus,87,3
Sharpchin Rockfish,Sebastes zacentrus,58,2
Shortraker Rockfish,Sebastes  borealis,157,2
Shortbelly Rockfish,Sebastes jordani,32,1
Shortspine Thornyhead,Sebastolobus alascanus,100,3
Silvergray Rockfish,Sebastes brevispinis,82,2
Splitnose Rockfish,Sebastes diploproa,86,1
Stripetail Rockfish,Sebastes saxicola,20,1
Tiger Rockfish,Sebastes nigrocinctus,116,3
Vermillion Rockfish,Sebastes miniatus,60,2
Widow Rockfish,Sebastes entomelas,60,1
Yelloweye Rockfish,Sebastes ruberrimus,121,3
Yellowtal Rockfish,Sebastes flavidus,64,2
