"","survey_id","species","gear","effort","sample_size","depth","max_depth","counts","PU_4Km_ID","PU_1Km_ID","UpperOceanSR"
"212906","2018_08_27 Spiller DC1  bnGrp 1","calcigorgia","mid_video",119.0847453,1,55.6016129,55.6016129,0,"10683",46674,"(11) Mainland Fjords"
"72766","2018_08_27 Spiller DC1  bnGrp 1","paragorgia","mid_video",119.0847453,1,55.6016129,55.6016129,0,"10683",46674,"(11) Mainland Fjords"
"145531","2018_08_27 Spiller DC1  bnGrp 1","primnoa","mid_video",119.0847453,1,55.6016129,55.6016129,0,"10683",46674,"(11) Mainland Fjords"
"91631","2018_08_27 Spiller DC1  bnGrp 1","stylaster","mid_video",119.0847453,1,55.6016129,55.6016129,0,"10683",46674,"(11) Mainland Fjords"
"212907","2018_08_27 Spiller DC1  bnGrp 10","calcigorgia","mid_video",120.7255036,1,106.4935484,106.4935484,0,"10683",46674,"(11) Mainland Fjords"
"72767","2018_08_27 Spiller DC1  bnGrp 10","paragorgia","mid_video",120.7255036,1,106.4935484,106.4935484,0,"10683",46674,"(11) Mainland Fjords"
"145532","2018_08_27 Spiller DC1  bnGrp 10","primnoa","mid_video",120.7255036,1,106.4935484,106.4935484,0,"10683",46674,"(11) Mainland Fjords"
"91632","2018_08_27 Spiller DC1  bnGrp 10","stylaster","mid_video",120.7255036,1,106.4935484,106.4935484,0,"10683",46674,"(11) Mainland Fjords"
"212908","2018_08_27 Spiller DC1  bnGrp 11","calcigorgia","mid_video",120.9073065,1,112.7580645,112.7580645,0,"10683",46674,"(11) Mainland Fjords"
"72768","2018_08_27 Spiller DC1  bnGrp 11","paragorgia","mid_video",120.9073065,1,112.7580645,112.7580645,0,"10683",46674,"(11) Mainland Fjords"
"145533","2018_08_27 Spiller DC1  bnGrp 11","primnoa","mid_video",120.9073065,1,112.7580645,112.7580645,0,"10683",46674,"(11) Mainland Fjords"
"91633","2018_08_27 Spiller DC1  bnGrp 11","stylaster","mid_video",120.9073065,1,112.7580645,112.7580645,0,"10683",46674,"(11) Mainland Fjords"
"212909","2018_08_27 Spiller DC1  bnGrp 12","calcigorgia","mid_video",120.7404669,1,117.8564516,117.8564516,0,"10683",46674,"(11) Mainland Fjords"
"72769","2018_08_27 Spiller DC1  bnGrp 12","paragorgia","mid_video",120.7404669,1,117.8564516,117.8564516,0,"10683",46674,"(11) Mainland Fjords"
"145534","2018_08_27 Spiller DC1  bnGrp 12","primnoa","mid_video",120.7404669,1,117.8564516,117.8564516,0,"10683",46674,"(11) Mainland Fjords"
"91634","2018_08_27 Spiller DC1  bnGrp 12","stylaster","mid_video",120.7404669,1,117.8564516,117.8564516,0,"10683",46674,"(11) Mainland Fjords"
"212910","2018_08_27 Spiller DC1  bnGrp 13","calcigorgia","mid_video",120.602992,1,120.8548387,120.8548387,0,"10683",46674,"(11) Mainland Fjords"
"72770","2018_08_27 Spiller DC1  bnGrp 13","paragorgia","mid_video",120.602992,1,120.8548387,120.8548387,0,"10683",46674,"(11) Mainland Fjords"
"145535","2018_08_27 Spiller DC1  bnGrp 13","primnoa","mid_video",120.602992,1,120.8548387,120.8548387,0,"10683",46674,"(11) Mainland Fjords"
"91635","2018_08_27 Spiller DC1  bnGrp 13","stylaster","mid_video",120.602992,1,120.8548387,120.8548387,0,"10683",46674,"(11) Mainland Fjords"
"212911","2018_08_27 Spiller DC1  bnGrp 14","calcigorgia","mid_video",120.7518032,1,118.8112903,118.8112903,0,"10682",46673,"(11) Mainland Fjords"
"72771","2018_08_27 Spiller DC1  bnGrp 14","paragorgia","mid_video",120.7518032,1,118.8112903,118.8112903,0,"10682",46673,"(11) Mainland Fjords"
"145536","2018_08_27 Spiller DC1  bnGrp 14","primnoa","mid_video",120.7518032,1,118.8112903,118.8112903,0,"10682",46673,"(11) Mainland Fjords"
"91636","2018_08_27 Spiller DC1  bnGrp 14","stylaster","mid_video",120.7518032,1,118.8112903,118.8112903,0,"10682",46673,"(11) Mainland Fjords"
"212912","2018_08_27 Spiller DC1  bnGrp 15","calcigorgia","mid_video",120.7984671,1,113.2225806,113.2225806,0,"10682",46673,"(11) Mainland Fjords"
"72772","2018_08_27 Spiller DC1  bnGrp 15","paragorgia","mid_video",120.7984671,1,113.2225806,113.2225806,0,"10682",46673,"(11) Mainland Fjords"
"145537","2018_08_27 Spiller DC1  bnGrp 15","primnoa","mid_video",120.7984671,1,113.2225806,113.2225806,0,"10682",46673,"(11) Mainland Fjords"
"91637","2018_08_27 Spiller DC1  bnGrp 15","stylaster","mid_video",120.7984671,1,113.2225806,113.2225806,0,"10682",46673,"(11) Mainland Fjords"
"212913","2018_08_27 Spiller DC1  bnGrp 16","calcigorgia","mid_video",120.5994354,1,106.7967742,106.7967742,0,"10682",46673,"(11) Mainland Fjords"
"72773","2018_08_27 Spiller DC1  bnGrp 16","paragorgia","mid_video",120.5994354,1,106.7967742,106.7967742,0,"10682",46673,"(11) Mainland Fjords"
"145538","2018_08_27 Spiller DC1  bnGrp 16","primnoa","mid_video",120.5994354,1,106.7967742,106.7967742,0,"10682",46673,"(11) Mainland Fjords"
"91638","2018_08_27 Spiller DC1  bnGrp 16","stylaster","mid_video",120.5994354,1,106.7967742,106.7967742,0,"10682",46673,"(11) Mainland Fjords"
"212914","2018_08_27 Spiller DC1  bnGrp 17","calcigorgia","mid_video",120.79518,1,101.5112903,101.5112903,0,"10682",46673,"(11) Mainland Fjords"
"72774","2018_08_27 Spiller DC1  bnGrp 17","paragorgia","mid_video",120.79518,1,101.5112903,101.5112903,0,"10682",46673,"(11) Mainland Fjords"
"145539","2018_08_27 Spiller DC1  bnGrp 17","primnoa","mid_video",120.79518,1,101.5112903,101.5112903,0,"10682",46673,"(11) Mainland Fjords"
"91639","2018_08_27 Spiller DC1  bnGrp 17","stylaster","mid_video",120.79518,1,101.5112903,101.5112903,0,"10682",46673,"(11) Mainland Fjords"
"212915","2018_08_27 Spiller DC1  bnGrp 18","calcigorgia","mid_video",120.8920573,1,100.6677419,100.6677419,0,"10682",46673,"(11) Mainland Fjords"
"72775","2018_08_27 Spiller DC1  bnGrp 18","paragorgia","mid_video",120.8920573,1,100.6677419,100.6677419,0,"10682",46673,"(11) Mainland Fjords"
