"","PU_1Km_ID","raw_score","obs_score","UpperOceanSR","PU_4Km_ID","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","coral_rank","coral_hotspot","coral_hotspot2"
"1",21076,7.19961156925013e-09,0,"(13) Eastern Queen Charlotte Sound",6265,28,28,1,0,0,0,0,6.58643426531593e-09,2,0,0
"2",21082,1.11968039879222e-08,0,"(11) Mainland Fjords",6267,27.25,30,2,0,0,0,0,1.02431933637994e-08,4,0,0
"3",21284,1.77444854623054e-08,0,"(13) Eastern Queen Charlotte Sound",6265,19,19,1,0,0,0,0,1.62332211877233e-08,7,0,0
"4",21500,8.72802507297807e-09,0,"(11) Mainland Fjords",6267,27.625,30,4,0,0,0,0,7.9846756809391e-09,3,0,0
"5",21711,1.2931622789446e-08,0,"(11) Mainland Fjords",6424,25.5,28,2,0,0,0,0,1.18302609282876e-08,6,0,0
"6",21933,1.04538147499017e-08,0,"(13) Eastern Queen Charlotte Sound",6423,25.7083333333333,30,4,0,0,0,0,9.56348311429653e-09,4,0,0
"7",21938,1.89230279760703e-08,0,"(11) Mainland Fjords",6424,18,18,1,0,0,0,0,1.73113894640433e-08,7,0,0
"8",21939,9.99880020401642e-09,0,"(11) Mainland Fjords",6425,27.1666666666667,30,3,0,0,0,0,9.14722129691795e-09,3,0,0
"9",21940,3.70233897775749e-09,0,"(11) Mainland Fjords",6425,31,31,1,0,0,0,0,3.38701776760666e-09,1,0,0
"10",21941,1.17842941586412e-08,0,"(11) Mainland Fjords",6425,27,30,2,0,0,0,0,1.07806481075368e-08,5,0,0
"11",22157,1.11968039879222e-08,0,"(13) Eastern Queen Charlotte Sound",6423,27.25,30,2,0,0,0,0,1.02431933637994e-08,4,0,0
"12",22158,1.12115265788946e-08,0,"(13) Eastern Queen Charlotte Sound",6423,27.75,31,2,0,0,0,0,1.0256662059537e-08,4,0,0
"13",22163,7.69812154799191e-09,0,"(11) Mainland Fjords",6425,29.6666666666667,32,3,0,0,0,0,7.04248709177817e-09,2,0,0
"14",22167,1.00683464435908e-08,0,"(11) Mainland Fjords",6426,29.25,33,2,0,0,0,0,9.21084441476963e-09,3,0,0
"15",22374,8.84740453407882e-09,0,"(13) Eastern Queen Charlotte Sound",6423,28.4166666666667,31,3,0,0,0,0,8.0938878190671e-09,3,0,0
"16",23031,1.05057139504332e-08,0,"(13) Eastern Queen Charlotte Sound",6581,25,30,2,0,0,0,0,9.6109621580526e-09,4,0,0
"17",23420,8.9164972233425e-08,0,"(13) Eastern Queen Charlotte Sound",6736,84,84,0,0,2,0,0,8.15709601463043e-08,8,0,0
"18",23432,9.53537197052468e-09,0,"(11) Mainland Fjords",6739,26,26,1,0,0,0,0,8.72326236979729e-09,3,0,0
"19",23434,1.07038160537321e-08,0,"(11) Mainland Fjords",6740,25,25,1,0,0,0,0,9.79219227979582e-09,4,0,0
"20",23435,4.86693660510291e-09,0,"(11) Mainland Fjords",6740,30,30,1,0,0,0,0,4.45242881711588e-09,1,0,0
"21",23845,1.11968039879222e-08,0,"(11) Mainland Fjords",6741,27.25,30,2,0,0,0,0,1.02431933637994e-08,4,0,0
"22",24038,0.0257904397789063,0.0251590273586623,"(13) Eastern Queen Charlotte Sound",6737,76.425,76.425,0,0,1,0,0.022940757365891,0.0235939167889092,10,1,1
"23",24056,9.34221406037994e-09,0,"(11) Mainland Fjords",6742,26,30,2,0,0,0,0,8.54655535362604e-09,3,0,0
"24",24058,1.07038160537321e-08,0,"(11) Mainland Fjords",6742,25,25,1,0,0,0,0,9.79219227979582e-09,4,0,0
"25",24256,0.00978528355572316,0.007627776258482,"(13) Eastern Queen Charlotte Sound",6895,35.7688888888889,53.11,2,0,2,0,0.00695523566521707,0.00895188945783089,10,1,0
