"","PU_4Km_ID","raw_score","obs_score","UpperOceanSR","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","coral_rank","coral_hotspot","coral_hotspot2"
"1",6265,2.55995016006473e-08,0,"(13) Eastern Queen Charlotte Sound",25.75,28,2,0,0,0,0,2.25346172742995e-08,5,0,0
"2",6267,2.08583784564286e-08,0,"(11) Mainland Fjords",27.4583333333333,30,6,0,0,0,0,1.8361122134746e-08,1,0,0
"3",6423,2.16682071817687e-08,0,"(13) Eastern Queen Charlotte Sound",26.974025974026,31,11,0,0,0,0,1.90739946221858e-08,2,0,0
"4",6424,2.70475311795774e-08,0,"(11) Mainland Fjords",24.6666666666667,28,3,0,0,0,0,2.38092824170861e-08,6,0,0
"5",6425,2.06905221520511e-08,0,"(11) Mainland Fjords",28.4166666666667,32,9,0,0,0,0,1.82133623214796e-08,1,0,0
"6",6426,2.18231011978542e-08,0,"(11) Mainland Fjords",29.25,33,2,0,0,0,0,1.9210344049023e-08,2,0,0
"7",6581,2.27251416328746e-08,0,"(13) Eastern Queen Charlotte Sound",25,30,2,0,0,0,0,2.00043882568451e-08,3,0,0
"8",6736,3.12073478226108e-06,0,"(13) Eastern Queen Charlotte Sound",84,84,0,0,2,0,0,2.74710676129216e-06,8,0,0
"9",6737,0.0594007878018652,0.109296805786489,"(13) Eastern Queen Charlotte Sound",76.425,76.425,0,0,1,0,0.0964514639567113,0.0522890656149751,10,1,1
"10",6739,2.32374112502832e-08,0,"(11) Mainland Fjords",26,26,1,0,0,0,0,2.04553267145401e-08,4,0,0
"11",6740,2.13685944410632e-08,0,"(11) Mainland Fjords",27.5,30,2,0,0,0,0,1.88102528295671e-08,2,0,0
"12",6741,2.3427524218141e-08,0,"(11) Mainland Fjords",27.25,30,2,0,0,0,0,2.06226785261647e-08,4,0,0
"13",6742,2.26762955786796e-08,0,"(11) Mainland Fjords",25.6666666666667,30,3,0,0,0,0,1.9961390265954e-08,3,0,0
"14",6895,0.00815594655077571,0.00848816959999629,"(13) Eastern Queen Charlotte Sound",39.0444444444445,53.11,4,0,3,0,0.0074905792382608,0.00717948094843871,10,1,0
"15",6896,2.47646367547807e-08,0,"(11) Mainland Fjords",23.5714285714285,30,7,0,0,0,0,2.17997061002126e-08,5,0,0
"16",6899,4.70433546779589e-08,0,"(11) Mainland Fjords",27.9375,33,4,0,1,0,0,4.14111184469359e-08,6,0,0
"17",6900,2.30122011976829e-08,0,"(11) Mainland Fjords",25.8928571428571,30,7,0,0,0,0,2.02570797947038e-08,3,0,0
"18",7051,2.7168640569161e-08,0,"(13) Eastern Queen Charlotte Sound",21,22,2,0,0,0,0,2.39158920607098e-08,6,0,0
"19",7052,2.27251416328746e-08,0,"(13) Eastern Queen Charlotte Sound",25,30,2,0,0,0,0,2.00043882568451e-08,3,0,0
"20",7054,2.03930893687553e-08,0,"(11) Mainland Fjords",27.3333333333333,32,3,0,0,0,0,1.79515394922324e-08,1,0,0
"21",7056,5.26888878118562e-07,0,"(11) Mainland Fjords",46.0974241733809,63.35862069,0,0,14,0,0,4.63807436555194e-07,7,0,0
"22",7057,1.66681378691364e-06,0,"(11) Mainland Fjords",51.4149264042564,113,6,0,30,0,0,1.46725554823594e-06,7,0,0
"23",7058,4.61826726216282e-08,0,"(11) Mainland Fjords",29.196058665,31.45735294,1,0,2,0,0,4.06534810117688e-08,6,0,0
"24",7060,2.52637417794696e-08,0,"(11) Mainland Fjords",24.6666666666667,30,5,0,0,0,0,2.22390560878217e-08,5,0,0
"25",7208,2.6163503853217e-08,0,"(13) Eastern Queen Charlotte Sound",24,26,2,0,0,0,0,2.303109470975e-08,5,0,0
"26",7214,2.27181915423744e-06,0,"(11) Mainland Fjords",49.2718181201389,94,5,0,6,0,0,1.99982702615854e-06,8,0,0
"27",7215,2.33543185607438e-08,0,"(11) Mainland Fjords",25.125,30,4,0,0,0,0,2.0558237370337e-08,4,0,0
"28",7216,9.01637744720566e-07,0,"(11) Mainland Fjords",54.7,54.7,0,0,3,0,0,7.93689729366712e-07,7,0,0
"29",7217,5.32989858739173e-06,0,"(11) Mainland Fjords",82.8706916251281,185.7,2,0,13,0,0,4.69177981084855e-06,9,0,0
"30",7218,2.2099303459303e-08,0,"(11) Mainland Fjords",27,27,1,0,0,0,0,1.94534781673798e-08,3,0,0
"31",7370,2.38186324919973e-08,0,"(11) Mainland Fjords",27,30,2,0,0,0,0,2.09669616064236e-08,4,0,0
"32",7372,5.75912926549633e-06,0,"(11) Mainland Fjords",107.720138885278,123.0333333,0,0,9,0,0,5.06962111433824e-06,9,0,0
"33",7373,4.84521623120158e-06,0,"(11) Mainland Fjords",75.5111111333333,101.2666667,1,0,1,0,0,4.26512574676807e-06,9,0,0
"34",7374,2.20207620127007e-08,0,"(11) Mainland Fjords",26.75,33,4,0,0,0,0,1.9384340046374e-08,2,0,0
"35",7375,1.30986803250233e-06,0,"(11) Mainland Fjords",63.4720261572727,117.75,0,0,11,0,0,1.15304490113719e-06,7,0,0
"36",7376,4.54866060378203e-08,0,"(11) Mainland Fjords",29.35,31,1,0,2,0,0,4.00407505645814e-08,6,0,0
"37",7528,2.44277327136094e-08,0,"(11) Mainland Fjords",26.25,30,4,0,0,0,0,2.15031376847647e-08,4,0,0
"38",7529,3.82145664514711e-06,0,"(11) Mainland Fjords",61.6813678898412,137.9666667,1,0,9,0,0,3.36393513718021e-06,8,0,0
"39",7530,1.05719025187404e-06,0,"(11) Mainland Fjords",49.0441872425555,66,0,0,18,0,0,9.30618809840393e-07,7,0,0
"40",7533,2.01950364985303e-06,0,"(11) Mainland Fjords",70,70,0,0,1,0,0,1.77771983780881e-06,8,0,0
"41",7534,5.48935111861321e-07,0,"(11) Mainland Fjords",36.5091853279697,61.45071429,4,0,11,0,0,4.83214198744668e-07,7,0,0
"42",7686,4.68813708678821e-06,0,"(11) Mainland Fjords",76.428876276,154.1585526,3,0,5,0,0,4.12685280472609e-06,8,0,0
"43",7687,4.02969903907804e-06,0,"(11) Mainland Fjords",65.385832917662,192.8684211,7,0,41,0,0,3.54724584067448e-06,8,0,0
"44",7688,0.00569274812712533,0.00616427800893821,"(11) Mainland Fjords",81.6336332052107,167.327653,9,0,16,29,0.00543980799731433,0.00501118741626245,9,0,0
"45",7689,2.44277327136094e-08,0,"(11) Mainland Fjords",26.25,30,4,0,0,0,0,2.15031376847647e-08,5,0,0
"46",7843,2.20761681719685e-08,0,"(11) Mainland Fjords",27.4444444444444,32,9,0,0,0,0,1.9433112737859e-08,3,0,0
"47",7845,2.84645011694407e-06,0,"(11) Mainland Fjords",48.2710900368254,171.3774319,6,0,15,0,0,2.50566065606909e-06,8,0,0
"48",7846,3.69280059926994e-06,0,"(11) Mainland Fjords",71.7174444417778,100.8333333,6,0,10,0,0,3.25068235597007e-06,8,0,0
"49",7847,1.61221304210119e-06,0,"(11) Mainland Fjords",48.3560728981481,87.6,2,0,14,0,0,1.41919184346408e-06,7,0,0
"50",7850,2.08549522771751e-06,0,"(11) Mainland Fjords",71,71,0,0,1,0,0,1.83581061526619e-06,8,0,0
"51",7851,2.35019026841679e-08,0,"(11) Mainland Fjords",25.5,29,2,0,0,0,0,2.06881520768421e-08,4,0,0
"52",7852,2.27366607005086e-08,0,"(11) Mainland Fjords",27.6,30,5,0,0,0,0,2.00145282113075e-08,3,0,0
"53",7853,0.0570078175172309,0.0554785020804438,"(11) Mainland Fjords",27,30,2,0,0,0,0.0489582719758289,0.0501825922017724,10,1,1
"54",7997,4.65211777172831e-08,0,"(13) Eastern Queen Charlotte Sound",30.266666665,35.53333333,2,0,1,0,0,4.09514587964531e-08,6,0,0
"55",7999,2.25737179279582e-08,0,"(11) Mainland Fjords",24.4166666666667,30,4,0,0,0,0,1.98710936603417e-08,3,0,0
"56",8000,2.10433950335551e-08,0,"(11) Mainland Fjords",27.5833333333333,32,3,0,0,0,0,1.85239877178338e-08,2,0,0
"57",8001,4.37272695148953e-06,0,"(11) Mainland Fjords",68.0467777779365,134.06,4,0,7,0,0,3.84920495070651e-06,8,0,0
"58",8002,2.66920650665683e-08,0,"(11) Mainland Fjords",23.25,25,2,0,0,0,0,2.34963742622476e-08,5,0,0
"59",8003,1.96844085994081e-08,0,"(11) Mainland Fjords",29,29,1,0,0,0,0,1.73277050849839e-08,1,0,0
"60",8009,2.2099303459303e-08,0,"(11) Mainland Fjords",27,27,1,0,0,0,0,1.94534781673798e-08,3,0,0
"61",8010,2.27251416328746e-08,0,"(11) Mainland Fjords",25,30,2,0,0,0,0,2.00043882568451e-08,3,0,0
"62",8011,2.50368329352215e-08,0,"(11) Mainland Fjords",25.5,28,2,0,0,0,0,2.20393137631057e-08,5,0,0
