"","PU_1Km_ID","species","normalized_lambda","normalized_cpue","PU_4Km_ID","depth","max_depth","UpperOceanSR","sample_sizes","dive_samps","hook_samps","mid_samps","deep_samps"
"1",21076,"calcigorgia",3.26267270757335e-08,0,6265,28,28,"(13) Eastern Queen Charlotte Sound",1,1,0,0,0
"2",21082,"calcigorgia",3.62115598110492e-08,0,6267,24.5,30,"(11) Mainland Fjords",2,2,0,0,0
"3",21284,"calcigorgia",4.63361671338432e-08,0,6265,19,19,"(13) Eastern Queen Charlotte Sound",1,1,0,0,0
"4",21500,"calcigorgia",3.06530056367471e-08,0,6267,26.25,30,"(11) Mainland Fjords",4,4,0,0,0
"5",21711,"calcigorgia",3.86589848460816e-08,0,6424,23,28,"(11) Mainland Fjords",2,2,0,0,0
"6",21933,"calcigorgia",3.29809869007379e-08,0,6423,24.75,30,"(13) Eastern Queen Charlotte Sound",4,4,0,0,0
"7",21938,"calcigorgia",4.74853147613801e-08,0,6424,18,18,"(11) Mainland Fjords",1,1,0,0,0
"8",21939,"calcigorgia",3.35029090857282e-08,0,6425,25.3333333333333,30,"(11) Mainland Fjords",3,3,0,0,0
"9",21940,"calcigorgia",2.68868924436334e-08,0,6425,31,31,"(11) Mainland Fjords",1,1,0,0,0
"10",21941,"calcigorgia",3.67838418221764e-08,0,6425,24,30,"(11) Mainland Fjords",2,2,0,0,0
"11",22157,"calcigorgia",3.62115598110492e-08,0,6423,24.5,30,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"12",22158,"calcigorgia",3.57966833944504e-08,0,6423,24.5,31,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"13",22163,"calcigorgia",2.95882474242479e-08,0,6425,27.3333333333333,32,"(11) Mainland Fjords",3,3,0,0,0
"14",22167,"calcigorgia",3.37247158029252e-08,0,6426,25.5,33,"(11) Mainland Fjords",2,2,0,0,0
"15",22374,"calcigorgia",3.16001959222899e-08,0,6423,26.3333333333333,31,"(13) Eastern Queen Charlotte Sound",3,3,0,0,0
"16",23031,"calcigorgia",3.5424688335714e-08,0,6581,25,30,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"17",23420,"calcigorgia",1.2000902919128e-07,0,6736,84,84,"(13) Eastern Queen Charlotte Sound",2,0,0,2,0
"18",23432,"calcigorgia",3.61176055619621e-08,0,6739,26,26,"(11) Mainland Fjords",1,1,0,0,0
"19",23434,"calcigorgia",3.77606843604572e-08,0,6740,25,25,"(11) Mainland Fjords",1,1,0,0,0
"20",23435,"calcigorgia",2.88665366668074e-08,0,6740,30,30,"(11) Mainland Fjords",1,1,0,0,0
"21",23845,"calcigorgia",3.62115598110492e-08,0,6741,24.5,30,"(11) Mainland Fjords",2,2,0,0,0
"22",24038,"calcigorgia",0.151671792609602,0.27998571680728,6737,76.425,76.425,"(13) Eastern Queen Charlotte Sound",1,0,0,1,0
"23",24056,"calcigorgia",3.40988001872086e-08,0,6742,26,30,"(11) Mainland Fjords",2,2,0,0,0
"24",24058,"calcigorgia",3.77606843604572e-08,0,6742,25,25,"(11) Mainland Fjords",1,1,0,0,0
"25",24256,"calcigorgia",1.4887975199756e-06,0,6895,33.4516666666667,53.11,"(13) Eastern Queen Charlotte Sound",5,2,0,3,0
"26",24272,"calcigorgia",1.78235971892902e-07,0,6899,30,30,"(11) Mainland Fjords",1,0,0,1,0
"27",24275,"calcigorgia",2.88665366668074e-08,0,6900,30,30,"(11) Mainland Fjords",1,1,0,0,0
