"","PU_4Km_ID","species","normalized_lambda","normalized_cpue","depth","max_depth","UpperOceanSR","sample_sizes","dive_samps","hook_samps","mid_samps","deep_samps"
"1",6265,"calcigorgia",9.58987699055306e-05,0,23.5,28,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"2",6267,"calcigorgia",4.05748557879839e-05,0,25.6666666666667,30,"(11) Mainland Fjords",6,6,0,0,0
"3",6423,"calcigorgia",4.85175678520845e-05,0,25.0909090909091,31,"(13) Eastern Queen Charlotte Sound",11,11,0,0,0
"4",6424,"calcigorgia",0.000100123592524231,0,21.3333333333333,28,"(11) Mainland Fjords",3,3,0,0,0
"5",6425,"calcigorgia",4.87973887320365e-05,0,26.3333333333333,32,"(11) Mainland Fjords",9,9,0,0,0
"6",6426,"calcigorgia",6.75154271757108e-05,0,25.5,33,"(11) Mainland Fjords",2,2,0,0,0
"7",6581,"calcigorgia",5.74672989473991e-05,0,25,30,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"8",6739,"calcigorgia",6.87323873267607e-05,0,26,26,"(11) Mainland Fjords",1,1,0,0,0
"9",6740,"calcigorgia",6.09022880838318e-05,0,27.5,30,"(11) Mainland Fjords",2,2,0,0,0
"10",6741,"calcigorgia",6.92357499179631e-05,0,24.5,30,"(11) Mainland Fjords",2,2,0,0,0
"11",6742,"calcigorgia",5.89505802985125e-05,0,25.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0
"12",6895,"calcigorgia",0.0461512854548285,0,24.25,31,"(13) Eastern Queen Charlotte Sound",4,4,0,2,0
"13",6896,"calcigorgia",6.44941423964477e-05,0,22.1428571428571,30,"(11) Mainland Fjords",7,7,0,0,0
"14",6899,"calcigorgia",7.5480895905305e-05,0,24.75,33,"(11) Mainland Fjords",4,4,0,1,0
"15",6900,"calcigorgia",6.64425206233771e-05,0,25.2857142857143,30,"(11) Mainland Fjords",7,7,0,0,0
"16",7051,"calcigorgia",7.7270696735988e-05,0,21,22,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"17",7052,"calcigorgia",5.74672989473991e-05,0,25,30,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"18",7054,"calcigorgia",5.14457433262945e-05,0,27.3333333333333,32,"(11) Mainland Fjords",3,3,0,0,0
"19",7057,"calcigorgia",7.19371880918455e-05,0,23.8333333333333,30,"(11) Mainland Fjords",6,6,0,26,0
"20",7058,"calcigorgia",6.27673690838801e-05,0,27,27,"(11) Mainland Fjords",1,1,0,2,0
"21",7060,"calcigorgia",7.97190136340613e-05,0,23,30,"(11) Mainland Fjords",5,5,0,0,0
"22",7208,"calcigorgia",8.28215306582178e-05,0,22,26,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0
"23",7214,"calcigorgia",6.48680027817395e-05,0,24.8,30,"(11) Mainland Fjords",5,5,0,3,0
"24",7215,"calcigorgia",4.61214400736892e-05,0,22.75,30,"(11) Mainland Fjords",4,4,0,0,0
"25",7217,"calcigorgia",7.33215386436077e-05,0,24,30,"(11) Mainland Fjords",2,2,0,13,0
"26",7218,"calcigorgia",6.27673690838801e-05,0,27,27,"(11) Mainland Fjords",1,1,0,0,0
"27",7370,"calcigorgia",7.33215386436077e-05,0,24,30,"(11) Mainland Fjords",2,2,0,0,0
"28",7373,"calcigorgia",8.17153930139629e-05,0,24,24,"(11) Mainland Fjords",1,1,0,1,0
"29",7374,"calcigorgia",6.10224994348514e-05,0,25.5,33,"(11) Mainland Fjords",4,4,0,0,0
"30",7376,"calcigorgia",5.69042245428311e-05,0,28,28,"(11) Mainland Fjords",1,1,0,2,0
"31",7528,"calcigorgia",7.55595483312249e-05,0,23.5,30,"(11) Mainland Fjords",4,4,0,0,0
"32",7529,"calcigorgia",4.58292699185264e-05,0,30,30,"(11) Mainland Fjords",1,1,0,7,0
