DescriptiveID,Transect Number,Depth,GlassSponge1,GlassSponge2,GlassSponge3,PU_1Km_ID,PU_4Km_ID
trp-09-10-2020,1,29,0,0,0,35260,8941
trp-09-10-2020,2,18,0,0,0,35260,8941
trp-09-10-2020,3,6,0,0,0,35260,8941
gul-10-09-2020,1,23,0,0,0,36794,9099
gul-10-09-2020,2,16,0,0,0,36794,9099
cur-10-09-2020,1,30,0,0,0,35042,8783
cur-10-09-2020,2,18,0,0,0,35042,8783
viv-10-09-2020,1,27,0,0,0,36563,9098
viv-10-09-2020,2,18,0,0,0,36563,9098
gr2-11-09-2020,1,32,0,0,0,36361,9102
gr2-11-09-2020,2,22,0,0,0,36361,9102
sim1-11-09-2020,1,24,0,0,0,37288,9260
sim1-11-09-2020,2,16,0,0,0,37288,9260
sim1-11-09-2020,3,5,0,0,0,37288,9260
cnv-11-09-2020,1,30,0,0,0,36143,9102
br-18-10-16,1,33,0,0,0,33323,8470
br-18-10-16,2,23,0,0,0,33323,8470
cp-20-10-16,1,32,0,0,0,28581,7688
cp-20-10-16,2,22,0,0,0,28581,7688
dc-13-7-16,1,20,1,1,1,51072,11330
dc-13-7-16,2,23,1,1,1,51072,11330
dc-13-7-16,3,10,0,0,0,51072,11330
eu1-12-7-16,1,27,0,0,0,51600,11330
eu2-12-7-16,1,28,1,1,1,51336,11330
fe-20-10-16,1,33,1,1,1,29401,7846
fe-20-10-16,2,22,0,0,0,29401,7846
fp-20-10-16,1,33,0,0,0,26774,7374
fp-20-10-16,2,21,0,0,0,26774,7374
gi1-22-10-16,1,33,0,0,0,36804,9102
gi1-22-10-16,2,20,0,0,0,36804,9102
gi2-22-10-16,1,33,0,0,0,36361,9102
gi2-22-10-16,2,21,0,0,0,36361,9102
hc-23-10-16,1,33,0,0,0,36599,9108
hc-23-10-16,2,24,0,0,0,36599,9108
kd13_001,1,12,0,0,0,59855,12559
kd13_001,2,12,0,0,0,59855,12559
kd13_002,1,15,0,0,0,59079,12558
kd13_002,2,15,0,0,0,59079,12558
kd13_003,1,16,0,0,0,51789,11455
kd13_003,2,16,0,0,0,51789,11455
kd13_004,1,18,0,0,0,53135,11611
kd13_005,1,18,0,0,0,56767,12096
kd13_005,2,18,0,0,0,56767,12096
kd13_006,1,17,0,0,0,52354,11460
kd13_006,2,17,0,0,0,52354,11460
kd13_007,1,23,0,0,0,53954,11774
kd13_008,1,16,0,0,0,58061,12411
kd13_008,2,18,0,0,0,58061,12411
kd13_009,1,13,0,0,0,58324,12412
kd13_009,2,13,0,0,0,58324,12412
kd13_010,1,8,0,0,0,54750,11780
kd13_010,2,5,0,0,0,54750,11780
kd15-1,1,19,0,0,0,56514,12096
kd15-1,2,18,,,,56514,12096
kd15-10,1,29,0,0,0,46644,10675
kd15-10,2,17,0,0,0,46644,10675
kd15-11,1,23,0,0,0,46930,10675
kd15-11,2,15,0,0,0,46930,10675
kd15-12,1,18,0,0,0,58862,12419
kd15-12,2,13,0,0,0,58862,12419
kd15-2,1,22,0,0,0,58833,12409
kd15-3,1,26,0,0,0,52636,11463
kd15-3,2,15,0,0,0,52636,11463
kd15-4,1,24,0,0,0,53433,11619
kd15-5,1,26,0,0,0,51573,11310
kd15-5,2,18,0,0,0,51573,11310
kd15-6,1,15,0,0,0,54239,11785
kd15-6,2,15,0,0,0,54239,11785
kd15-7,1,21,0,0,0,57551,12258
kd15-8,1,27,0,0,0,58060,12411
kd15-8,2,18,0,0,0,58060,12411
kd15-9,1,24,,,,58580,12411
kd-16-8-16_1,1,21,0,0,0,53140,11612
kd-16-8-16_1,2,16,0,0,0,53140,11612
kd-16-8-16_2,1,26,0,0,0,54718,11771
kd-16-8-16_2,2,16,,,,54718,11771
kd-16-8-16_3,1,18,,,,51810,11460
kd-16-8-16_3,2,22,,,,51810,11460
kd-17-8-16_1,1,27,,,,47215,10676
kd-17-8-16_1,2,20,,,,47215,10676
kd-17-8-16_2,1,27,0,0,0,47215,10676
kd-17-8-16_2,2,18,0,0,0,47215,10676
kd-17-8-16_3,1,22,,,,46930,10675
kd-17-8-16_3,2,16,,,,46930,10675
kd-18-8-16_1,1,23,,,,48885,10990
kd-18-8-16_1,2,17,,,,48885,10990
kd-18-8-16_2,1,23,,,,48626,10990
kd-18-8-16_3,1,27,,,,46929,10675
kd-18-8-16_3,2,19,,,,46929,10675
kd-19-8-16_1,1,27,,,,56757,12093
kd-19-8-16_1,2,18,,,,56757,12093
