Species,Common name,min_depth,max_depth,hook_line,dive,mid_video,deep_video
Sebastes melanops,black,0,76,1,1,1,0
Sebastes paucispinis,bocaccio,95,225,0,1,1,1
Sebastes auriculatus,brown,0,70,0,1,1,0
Sebastes pinniger,canary,80,200,1,1,1,1
Sebastes nebulosus,china,10,128,1,1,1,1
Sebastes caurinus,copper,0,70,1,1,1,0
Sebastes diaconus,deacon,0,90,1,1,1,0
Sebastes ciliatus/variabilis,dusky-dark,100,300,0,1,1,1
Sebastes elongatus,greenstripe,100,300,1,1,1,1
Sebastes emphaeus,puget sound,10,470,0,1,1,1
Sebastes wilsoni,pygmy,60,150,1,1,1,1
Sebastes maliger,quillback,10,130,1,1,1,1
Sebastes babcocki,redbanded,150,350,0,0,0,1
Sebastes proriger,redstripe,55,300,1,1,1,1
Sebastes helvomaculatus,rosethorn,80,350,0,0,1,1
Sebastes aleutianus/ melanostictus,REBS,150,450,0,0,1,1
Sebastes zacentrus,sharpchin,200,300,0,0,1,1
Sebastes jordani,shortbelly,150,270,0,1,1,1
Sebastes borealis,shortraker,300,600,0,0,1,1
Sebastolobus alascanus,sebastolobus,200,800,0,0,0,1
Sebastes brevispinis,silvergrey,100,300,1,1,1,1
Sebastes diploproa,splitnose,200,420,0,0,1,1
Sebastes saxicola Type S,stripetail,180,270,0,0,1,1
Sebastes nigrocinctus,tiger,30,298,1,1,1,1
Sebastes miniatus Type 2,vermillion,50,150,1,1,1,1
Sebastes entomelas,widow,0,200,1,1,1,1
Sebastes ruberrimus,yelloweye,91,180,1,1,1,1
Sebastes flavidus,yellowtail,90,180,1,1,1,1
Ophiodon elongatus,lingcod,0,100,1,1,1,0
