"","PU_1Km_ID","species","normalized_lambda","normalized_cpue","PU_4Km_ID","depth","max_depth","UpperOceanSR","sample_sizes","dive_samps","hook_samps","mid_samps","deep_samps","quantilelambda","quantileCPUE"
"1",21076,"black",0.00061039972281297,0,6265,28,28,"(13) Eastern Queen Charlotte Sound",1,1,0,0,0,2,1
"2",21082,"black",0.000554080875382459,0,6267,24.5,30,"(11) Mainland Fjords",2,2,0,0,0,2,1
"3",21284,"black",0.00107442950715849,0,6265,13,19,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0,4,1
"4",21500,"black",0.090543844845818,0.0627177700348432,6267,24.4,30,"(11) Mainland Fjords",5,5,0,0,0,10,10
"5",21711,"black",0.418391781756857,0.503484320557491,6424,23,28,"(11) Mainland Fjords",2,2,0,0,0,10,10
"6",21933,"black",0.0580040933557096,0.0383275261324042,6423,20.8,30,"(13) Eastern Queen Charlotte Sound",5,5,0,0,0,9,9
"7",21938,"black",0.0206504656001868,0.00696864111498258,6424,11,18,"(11) Mainland Fjords",3,3,0,0,0,8,8
"8",21939,"black",0.0430603015424681,0.0383275261324042,6425,22.75,30,"(11) Mainland Fjords",4,4,0,0,0,9,9
"9",21940,"black",0.0710321896937292,0.0958188153310105,6425,23.5,31,"(11) Mainland Fjords",2,2,0,0,0,9,10
"10",21941,"black",0.000669013481493285,0,6425,17.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0,3,1
"11",22157,"black",0.0036262064317614,0.00174216027874564,6423,24.5,30,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0,5,8
"12",22158,"black",0.00614148671143666,0.00522648083623693,6423,24.5,31,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0,6,8
"13",22163,"black",0.125332198458861,0.121951219512195,6425,18,32,"(11) Mainland Fjords",6,6,0,0,0,10,10
"14",22167,"black",0.00063008381318422,0,6426,25.5,33,"(11) Mainland Fjords",2,2,0,0,0,2,1
"15",22374,"black",0.00184798055267005,0.000696864111498258,6423,19.8,31,"(13) Eastern Queen Charlotte Sound",5,5,0,0,0,5,8
"16",22601,"black",0.0197099588436952,0,6582,41,41,"(13) Eastern Queen Charlotte Sound",1,0,1,0,0,8,1
"17",23031,"black",0.000517715650595131,0,6581,25,30,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0,1,1
"18",23231,"black",0.0383222290390475,0,6581,34,34,"(11) Mainland Fjords",1,0,1,0,0,9,1
"19",23419,"black",0.00605931040670174,0,6736,55,55,"(13) Eastern Queen Charlotte Sound",1,0,1,0,0,6,1
"20",23432,"black",0.0600878752449066,0.0696864111498258,6739,26,26,"(11) Mainland Fjords",1,1,0,0,0,9,10
"21",23434,"black",0.0159673617647828,0,6740,20.6666666666667,26,"(11) Mainland Fjords",4,3,1,0,0,7,1
"22",23435,"black",0.0283538771717356,0.0174216027874564,6740,29.8333333333333,41,"(11) Mainland Fjords",4,3,1,0,0,8,9
"23",23636,"black",0.018020491039375,0,6739,41,41,"(11) Mainland Fjords",1,0,1,0,0,7,1
"24",23845,"black",0.000538383209529146,0,6741,19.3333333333333,30,"(11) Mainland Fjords",3,3,0,0,0,2,1
"25",24056,"black",0.000469606789633305,0,6742,26,30,"(11) Mainland Fjords",2,2,0,0,0,1,1
"26",24058,"black",0.0961602898770481,0.0731707317073171,6742,13.3333333333333,25,"(11) Mainland Fjords",3,3,0,0,0,10,10
"27",24256,"black",0.060071165412893,0.167247386759582,6895,43.6344444444444,80,"(13) Eastern Queen Charlotte Sound",6,2,1,3,0,9,10
"28",24272,"black",0.023751029230188,0,6899,30,30,"(11) Mainland Fjords",1,0,0,1,0,8,1
"29",24275,"black",0.000775279585616675,0,6900,16.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0,4,1
"30",24276,"black",0.000519326601420482,0,6900,17.3333333333333,25,"(11) Mainland Fjords",3,3,0,0,0,1,1
"31",24468,"black",0.000566688407941717,0,6896,15,19,"(13) Eastern Queen Charlotte Sound",3,3,0,0,0,2,1
"32",24481,"black",0.000747990569841816,0,6899,25.5,33,"(11) Mainland Fjords",2,2,0,0,0,3,1
"33",24482,"black",0.000549462818243557,0,6899,15,21,"(11) Mainland Fjords",3,3,0,0,0,2,1
"34",24484,"black",0.000679311638997219,0,6900,13.3333333333333,24,"(11) Mainland Fjords",3,3,0,0,0,3,1
"35",24486,"black",0.000717927104159985,0,6900,18.3333333333333,30,"(11) Mainland Fjords",3,3,0,0,0,3,1
"36",24678,"black",0.0125627801657109,0.00958188153310104,6896,22,30,"(11) Mainland Fjords",4,4,0,0,0,7,9
"37",24691,"black",0.00059477119093872,0,6899,16.3333333333333,27,"(11) Mainland Fjords",3,3,0,0,0,2,1
"38",24694,"black",0.000859246383718397,0,6900,17.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0,4,1
"39",24887,"black",0.000742410117691382,0,6895,24.5,31,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0,3,1
"40",24888,"black",0.0381315459095182,0,6895,35,56,"(13) Eastern Queen Charlotte Sound",1,0,1,0,0,9,1
"41",24891,"black",0.000719953159620507,0,6896,17.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0,3,1
"42",25100,"black",0.145770781454722,0.137630662020906,7051,21,22,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0,10,10
"43",25122,"black",0.0377218648406501,0.0198548513867546,7057,31.8779801,69.20033784,"(11) Mainland Fjords",9,2,0,7,0,9,9
"44",25123,"black",0.00482671737373727,0,7057,47.381475568,63.43728814,"(11) Mainland Fjords",5,0,0,5,0,6,1
"45",25124,"black",0.0147432745399608,0,7058,31.39211733,31.45735294,"(11) Mainland Fjords",2,0,0,2,0,7,1
"46",25319,"black",0.0254297485877014,0.0261324041811847,7052,25,30,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0,8,9
"47",25335,"black",0.00360156336790995,0,7057,50.930661885,62.21052632,"(11) Mainland Fjords",4,0,0,4,0,5,1
"48",25336,"black",0.000661211468334865,0,7057,17.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0,2,1
"49",25341,"black",0.00066557094912932,0,7058,16,27,"(11) Mainland Fjords",3,3,0,0,0,2,1
"50",25347,"black",0.000787821489575988,0,7060,17.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0,4,1
"51",25536,"black",0.000739302502076744,0,7054,19,32,"(11) Mainland Fjords",3,3,0,0,0,3,1
"52",25544,"black",0.0257163183861422,0,7056,34.5559995315,58.71914894,"(11) Mainland Fjords",11,0,1,10,0,8,1
"53",25549,"black",0.000813466220236963,0,7057,37.4818932745833,59.5,"(11) Mainland Fjords",7,3,0,4,0,4,1
