"","PU_4Km_ID","species","normalized_lambda","normalized_cpue","depth","max_depth","UpperOceanSR","sample_sizes","dive_samps","hook_samps","mid_samps","deep_samps","quantilelambda","quantileCPUE"
"1",6265,"black",0.0011136094917027,0,18,28,"(13) Eastern Queen Charlotte Sound",3,3,0,0,0,4,1
"2",6267,"black",0.0784972444883309,0.0967611880123639,24.4285714285714,30,"(11) Mainland Fjords",7,7,0,0,0,9,9
"3",6423,"black",0.0275706019074471,0.0322537293374546,21.5,31,"(13) Eastern Queen Charlotte Sound",14,14,0,0,0,7,8
"4",6424,"black",0.217632315997748,0.444026340545626,15.8,28,"(11) Mainland Fjords",5,5,0,0,0,10,10
"5",6425,"black",0.0862315288936612,0.155032925682032,19.9333333333333,32,"(11) Mainland Fjords",15,15,0,0,0,9,10
"6",6426,"black",0.000762886755223271,0,25.5,33,"(11) Mainland Fjords",2,2,0,0,0,2,1
"7",6581,"black",0.0233325959254198,0,29.5,34,"(13) Eastern Queen Charlotte Sound",3,2,1,0,0,7,1
"8",6582,"black",0.0236785319373484,0,41,41,"(13) Eastern Queen Charlotte Sound",1,0,1,0,0,7,1
"9",6736,"black",0.0072793442199038,0,55,55,"(13) Eastern Queen Charlotte Sound",1,0,1,2,0,5,1
"10",6739,"black",0.0472007528398663,0.0752587017873942,33.5,41,"(11) Mainland Fjords",2,1,1,0,0,8,9
"11",6740,"black",0.0267348843127254,0.0188146754468485,25.25,41,"(11) Mainland Fjords",8,6,2,0,0,7,8
"12",6741,"black",0.000651858389614423,0,19.3333333333333,30,"(11) Mainland Fjords",3,3,0,0,0,1,1
"13",6742,"black",0.0700842470658058,0.0948259642521167,18.4,30,"(11) Mainland Fjords",5,5,0,0,0,9,9
"14",6895,"black",0.0500212666359141,0.0839604891815616,38.8844444444444,80,"(13) Eastern Queen Charlotte Sound",9,4,2,3,0,9,9
"15",6896,"black",0.00655160455750025,0.00827845719661336,18.6,30,"(11) Mainland Fjords",10,10,0,0,0,5,7
"16",6899,"black",0.0277666310215414,0,24.0625,33,"(11) Mainland Fjords",9,8,0,1,0,7,1
"17",6900,"black",0.00085991116524061,0,16.6666666666667,30,"(11) Mainland Fjords",15,15,0,0,0,3,1
"18",7051,"black",0.176494929949644,0.297271872060207,21,22,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0,10,10
"19",7052,"black",0.0307895838304022,0.0564440263405456,25,30,"(13) Eastern Queen Charlotte Sound",2,2,0,0,0,8,9
"20",7054,"black",0.000876963522270749,0,20.6,32,"(11) Mainland Fjords",5,5,0,0,0,3,1
"21",7056,"black",0.0337024848649456,0,35.2239081692857,63.35862069,"(11) Mainland Fjords",15,0,1,14,0,8,1
"22",7057,"black",0.0303776388135696,0.0150443561808792,33.9847636184091,69.20033784,"(11) Mainland Fjords",30,8,0,22,0,8,8
"23",7058,"black",0.0173437062469693,0,23.696058665,31.45735294,"(11) Mainland Fjords",5,3,0,2,0,7,1
"24",7060,"black",0.000801575006496707,0,18.375,30,"(11) Mainland Fjords",8,8,0,0,0,2,1
"25",7208,"black",0.0184168688435526,0,29.25,43,"(13) Eastern Queen Charlotte Sound",4,2,2,0,0,7,1
"26",7214,"black",0.0485936294936836,0.0447445903483995,32.5991671566667,68.45779645,"(11) Mainland Fjords",17,8,3,6,0,8,8
"27",7215,"black",0.00187601524102441,0.00188146754468485,22.75,30,"(11) Mainland Fjords",4,4,0,0,0,4,7
"28",7216,"black",0.0059909903520758,0,54.7,54.7,"(11) Mainland Fjords",3,0,0,3,0,5,1
"29",7217,"black",0.000651499586543482,0,47.0085352766667,73.32222222,"(11) Mainland Fjords",5,2,0,3,0,1,1
"30",7218,"black",0.000997174740166973,0,27,27,"(11) Mainland Fjords",1,1,0,0,0,3,1
"31",7370,"black",0.000837786057199316,0,17.6666666666667,30,"(11) Mainland Fjords",3,3,0,0,0,3,1
"32",7372,"black",0.0873082913483392,0,23.46666667,23.46666667,"(11) Mainland Fjords",1,0,0,1,0,9,1
"33",7373,"black",0.000820156163310789,0,13.3333333333333,24,"(11) Mainland Fjords",3,3,0,1,0,2,1
"34",7374,"black",0.0298911102182725,0.0752587017873942,21.4,33,"(11) Mainland Fjords",5,5,0,0,0,8,9
"35",7375,"black",0.0019833328580284,0,58.044228773,66.54210526,"(11) Mainland Fjords",10,0,0,10,0,4,1
"36",7376,"black",0.0114838556123238,0,23.5166666666667,31,"(11) Mainland Fjords",5,3,0,2,0,6,1
"37",7524,"black",0.0592540401612155,0,32,38,"(13) Eastern Queen Charlotte Sound",1,0,1,0,0,9,1
