"","PU_4Km_ID","PU_1Km_ID","UpperOceanSR","survey_id","counts","effort","sample_size","species","depth","max_depth","gear"
"1","6265",21076,"(13) Eastern Queen Charlotte Sound","wai-18-09-2020_1",0,120,1,"sponge",28,28,"dive"
"2","6265",21284,"(13) Eastern Queen Charlotte Sound","btr-18-09-2020_1",0,120,1,"sponge",19,19,"dive"
"3","6265",21284,"(13) Eastern Queen Charlotte Sound","btr-18-09-2020_2",0,120,1,"sponge",7,7,"dive"
"4","6267",21082,"(11) Mainland Fjords","rdd-19-09-2019_1",0.708333333333333,120,1,"sponge",30,30,"dive"
"5","6267",21082,"(11) Mainland Fjords","rdd-19-09-2019_2",0,120,1,"sponge",19,19,"dive"
"6","6267",21500,"(11) Mainland Fjords","ssp-19-09-2019_1",0.125,120,1,"sponge",30,30,"dive"
"7","6267",21500,"(11) Mainland Fjords","ssp-19-09-2019_2",0,120,1,"sponge",18,18,"dive"
"8","6267",21500,"(11) Mainland Fjords","val-19-09-2020_1",0.0416666666666667,120,1,"sponge",27,27,"dive"
"9","6267",21500,"(11) Mainland Fjords","val-19-09-2020_2",0,120,1,"sponge",17,17,"dive"
"10","6267",21500,"(11) Mainland Fjords","vye-29-09-2019_1",0.125,120,1,"sponge",30,30,"dive"
"11","6423",21933,"(13) Eastern Queen Charlotte Sound","rr-15-04-2017_1",0,120,1,"sponge",30,30,"dive"
"12","6423",21933,"(13) Eastern Queen Charlotte Sound","rr-15-04-2017_2",0,120,1,"sponge",20,20,"dive"
"13","6423",21933,"(13) Eastern Queen Charlotte Sound","rur-18-09-2020_1",0,120,1,"sponge",30,30,"dive"
"14","6423",21933,"(13) Eastern Queen Charlotte Sound","rur-18-09-2020_2",0,120,1,"sponge",19,19,"dive"
"15","6423",21933,"(13) Eastern Queen Charlotte Sound","rur-18-09-2020_3",0,120,1,"sponge",5,5,"dive"
"16","6423",22157,"(13) Eastern Queen Charlotte Sound","fe-15-04-2017_1",0,120,1,"sponge",30,30,"dive"
"17","6423",22157,"(13) Eastern Queen Charlotte Sound","fe-15-04-2017_2",0,120,1,"sponge",19,19,"dive"
"18","6423",22158,"(13) Eastern Queen Charlotte Sound","fes-15-09-2019_1",0,120,1,"sponge",31,31,"dive"
"19","6423",22158,"(13) Eastern Queen Charlotte Sound","fes-15-09-2019_2",0,120,1,"sponge",18,18,"dive"
"20","6423",22374,"(13) Eastern Queen Charlotte Sound","fei-18-09-2020_1",0,120,1,"sponge",30,30,"dive"
"21","6423",22374,"(13) Eastern Queen Charlotte Sound","fei-18-09-2020_2",0,120,1,"sponge",15,15,"dive"
"22","6423",22374,"(13) Eastern Queen Charlotte Sound","fei-18-09-2020_3",0,120,1,"sponge",5,5,"dive"
"23","6423",22374,"(13) Eastern Queen Charlotte Sound","few-15-09-2019_1",0,120,1,"sponge",31,31,"dive"
"24","6423",22374,"(13) Eastern Queen Charlotte Sound","few-15-09-2019_2",0,120,1,"sponge",18,18,"dive"
"25","6424",21711,"(11) Mainland Fjords","brp-15-09-2019_1",0,120,1,"sponge",28,28,"dive"
"26","6424",21711,"(11) Mainland Fjords","brp-15-09-2019_2",0,120,1,"sponge",18,18,"dive"
"27","6424",21938,"(11) Mainland Fjords","shh-19-09-2020_1",0,120,1,"sponge",18,18,"dive"
"28","6424",21938,"(11) Mainland Fjords","shh-19-09-2020_2",0,120,1,"sponge",10,10,"dive"
"29","6424",21938,"(11) Mainland Fjords","shh-19-09-2020_3",0,120,1,"sponge",5,5,"dive"
"30","6425",21939,"(11) Mainland Fjords","srp-15-09-2019_1",0,120,1,"sponge",28,28,"dive"
